MemberName,RegPointH,RegPointV,CRectLeft,CRectTop,CRectRight,CRectBottom,SRectLeft,SRectTop,SRectRight,SRectBottom,BRectLeft,BRectTop,BRectRight,BRectBottom
human_shadow_h,-6,17,0,0,64,32,167,149,231,181,129,150,193,182
human_shadow_sh,-3,9,0,0,37,19,167,149,231,181,129,150,193,182
h_std_bd_001_1_0,-27,62,0,0,22,69,167,149,231,181,129,150,193,182
h_std_bd_001_2_0,-23,61,0,0,31,69,167,149,231,181,129,150,193,182
h_std_bd_001_3_0,-23,61,0,0,27,67,167,149,231,181,129,150,193,182
h_std_bd_001_7_0,-24,62,0,0,25,68,167,149,231,181,129,150,193,182
h_wlk_bd_001_0_0,-24,62,0,0,27,66,167,149,231,181,129,150,193,182
h_wlk_bd_001_0_1,-15,61,0,0,45,65,167,149,231,181,129,150,193,182
h_wlk_bd_001_0_2,-24,62,0,0,29,69,167,149,231,181,129,150,193,182
h_wlk_bd_001_0_3,0,61,0,0,49,70,167,149,231,181,129,150,193,182
h_wlk_bd_001_1_0,0,62,0,0,48,66,167,149,231,181,129,150,193,182
h_wlk_bd_001_1_1,0,61,0,0,61,65,167,149,231,181,129,150,193,182
h_wlk_bd_001_1_2,0,62,0,0,49,69,167,149,231,181,129,150,193,182
h_wlk_bd_001_1_3,0,61,0,0,64,68,167,149,231,181,129,150,193,182
h_wlk_bd_001_2_0,-20,61,0,0,32,62,167,149,231,181,129,150,193,182
h_wlk_bd_001_2_1,0,60,0,0,48,65,167,149,231,181,129,150,193,182
h_wlk_bd_001_2_2,0,61,0,0,51,69,167,149,231,181,129,150,193,182
h_wlk_bd_001_2_3,0,60,0,0,59,61,167,149,231,181,129,150,193,182
h_wlk_bd_001_3_0,0,61,0,0,48,67,167,149,231,181,129,150,193,182
h_wlk_bd_001_3_1,0,60,0,0,47,67,167,149,231,181,129,150,193,182
h_wlk_bd_001_3_2,0,61,0,0,47,67,167,149,231,181,129,150,193,182
h_wlk_bd_001_3_3,0,60,0,0,48,67,167,149,231,181,129,150,193,182
h_wlk_bd_001_7_0,0,62,0,0,48,68,167,149,231,181,129,150,193,182
h_wlk_bd_001_7_1,0,61,0,0,48,69,167,149,231,181,129,150,193,182
